Date,Open,High,Low,Close,Volume,OpenInt
4/28/1982,3.8628,3.9041,3.7792,3.8,273190,0
4/29/1982,3.8419,3.8628,3.8,3.8628,236024,0
4/30/1982,3.8628,3.8628,3.8209,3.8628,226062,0
5/3/1982,3.9041,3.9255,3.8628,3.8628,437182,0
5/4/1982,3.9041,3.9041,3.8839,3.9041,238707,0
5/5/1982,3.967,3.9881,3.9255,3.967,1227249,0
5/6/1982,4.0721,4.1551,4.009,4.1551,639104,0
5/7/1982,4.1131,4.1551,4.0721,4.1131,413809,0
5/10/1982,4.1131,4.1346,4.0924,4.1131,290815,0
5/11/1982,4.1551,4.1968,4.1131,4.1551,512280,0
5/12/1982,4.1968,4.2177,4.1551,4.1551,929921,0
5/13/1982,4.2177,4.2596,4.1757,4.2596,331814,0
5/14/1982,4.2379,4.2596,4.1968,4.1968,889690,0
5/17/1982,4.2177,4.2596,4.1968,4.1968,889690,0
5/18/1982,3.9041,3.9464,3.8628,3.9041,237173,0
5/19/1982,3.967,4.009,3.9041,3.9881,108816,0
5/20/1982,3.8839,3.9464,3.8209,3.8209,278938,0
5/21/1982,3.7374,3.8628,3.6331,3.6963,459788,0
5/24/1982,3.7584,3.8209,3.6963,3.7792,293115,0
5/25/1982,3.8209,3.8628,3.7792,3.7792,193877,0
5/26/1982,3.7584,3.8209,3.6963,3.6963,175869,0
5/27/1982,3.7163,3.7584,3.6963,3.7584,264761,0
5/28/1982,3.7584,3.8,3.6963,3.7374,290815,0
6/1/1982,3.7163,3.7792,3.6538,3.6745,219549,0
6/2/1982,3.6963,3.7163,3.6745,3.6963,567838,0
6/3/1982,3.7163,3.7374,3.6963,3.6963,252499,0
6/4/1982,3.6963,3.7374,3.6538,3.6538,747156,0
6/7/1982,3.6538,3.6963,3.5916,3.6331,237173,0
6/8/1982,3.6538,3.6745,3.6122,3.6331,219165,0
6/9/1982,3.6122,3.6331,3.5704,3.6122,168207,0
6/10/1982,3.6331,3.6745,3.5704,3.6331,272806,0
6/11/1982,3.7792,3.8209,3.7163,3.7584,449443,0
6/14/1982,3.7792,3.8419,3.7163,3.8,411126,0
6/15/1982,3.8209,3.8419,3.7792,3.8419,236024,0
6/16/1982,3.8839,3.9255,3.8209,3.8419,640254,0
6/17/1982,3.7584,3.8,3.7163,3.7584,339860,0
6/18/1982,3.7792,3.8,3.7374,3.7792,860187,0
6/21/1982,3.7163,3.7792,3.6745,3.6745,177400,0
6/22/1982,3.6963,3.7163,3.6331,3.7163,182765,0
6/23/1982,3.8,3.8419,3.7374,3.8419,505000,0
6/24/1982,3.7584,3.8,3.7163,3.7374,300011,0
6/25/1982,3.6963,3.7374,3.6122,3.6538,178169,0
6/28/1982,3.5916,3.6122,3.5494,3.6122,325300,0
6/29/1982,3.5916,3.6122,3.5704,3.5704,337946,0
6/30/1982,3.5916,3.6331,3.5494,3.5916,730679,0
7/1/1982,3.5916,3.6331,3.5494,3.6331,163226,0
7/2/1982,3.5704,3.6331,3.4871,3.5078,103069,0
7/6/1982,3.5494,3.6331,3.4655,3.6331,452508,0
7/7/1982,3.7374,3.8209,3.6745,3.8209,663627,0
7/8/1982,3.8,3.8839,3.7163,3.8839,368597,0
7/9/1982,3.8839,3.9041,3.8419,3.9041,703858,0
7/12/1982,3.7584,3.8,3.7163,3.7584,505000,0
7/13/1982,3.8,3.8419,3.7792,3.8209,1096977,0
7/14/1982,3.6331,3.6331,3.4655,3.6331,362848,0
